"event_type","source_timestamp_utc","amount","numerator","denominator","split_ratio"
"dividends","2013-10-24T01:00:00.0000000+00:00","1,35",,,
"dividends","2014-10-24T01:00:00.0000000+00:00","1,55",,,
"dividends","2015-10-26T01:00:00.0000000+00:00","0,5",,,
"dividends","2016-07-28T01:00:00.0000000+00:00","0,2125",,,
"dividends","2017-02-08T01:00:00.0000000+00:00","0,425",,,
"dividends","2017-07-31T01:00:00.0000000+00:00","0,175",,,
"dividends","2018-01-29T01:00:00.0000000+00:00","0,55",,,
"dividends","2018-07-23T01:00:00.0000000+00:00","0,175",,,
