symbol,action_date,action_type,previous_session_date,event_session_present,following_session_date,raw_close_previous,raw_open_event,raw_close_event,raw_close_following,adj_close_previous,adj_close_event,event_split_factor,raw_scale_previous_to_event_open,raw_scale_event_to_following_close,adj_scale_previous_to_event,split_scale_status
SPY,2003-03-21,DIVIDEND,2003-03-20,True,2003-03-24,88.1500015258789,88.80000305175781,89.66999816894531,86.69000244140625,57.42671203613281,58.6524658203125,,0.9926801632484173,1.0343753102274191,0.9791014108778495,NOT_APPLICABLE
SPY,2003-06-20,DIVIDEND,2003-06-19,True,2003-06-23,100.0199966430664,100.38999938964844,99.44000244140625,98.41999816894531,65.42233276367188,65.27790069580078,,0.9963143465600999,1.0103637908091607,1.002212572192604,NOT_APPLICABLE
SPY,2003-09-19,DIVIDEND,2003-09-18,True,2003-09-22,104.5999984741211,104.2699966430664,103.66999816894531,102.55000305175781,68.66523742675781,68.31595611572266,,1.003164878121022,1.0109214537675073,1.0051127339920924,NOT_APPLICABLE
SPY,2003-12-19,DIVIDEND,2003-12-18,True,2003-12-22,109.72000122070312,109.30000305175781,108.9000015258789,109.66000366210938,72.30281829833984,72.10151672363281,,1.0038426180898314,0.9930694682577959,1.0027919187259073,NOT_APPLICABLE
SPY,2004-03-19,DIVIDEND,2004-03-18,True,2004-03-22,113.06999969482422,112.41000366210938,111.05999755859375,109.6500015258789,74.8624038696289,73.78936767578125,,1.0058713282734044,1.0128590607669263,1.0145418808650375,NOT_APPLICABLE
SPY,2004-06-18,DIVIDEND,2004-06-17,True,2004-06-21,113.83000183105469,113.2699966430664,113.62999725341797,113.19999694824219,75.62982177734375,75.77251434326172,,1.00494398520866,1.0037985893707435,0.9981168294710197,NOT_APPLICABLE
SPY,2004-09-17,DIVIDEND,2004-09-16,True,2004-09-20,113.13999938964844,112.94999694824219,113.1500015258789,112.47000122070312,75.44576263427734,75.76652526855469,,1.0016821819082768,1.006046059374014,0.9957664333537747,NOT_APPLICABLE
SPY,2004-11-15,DIVIDEND,2004-11-12,True,2004-11-16,118.79000091552734,118.5,118.7300033569336,117.87999725341797,79.54312133789062,79.738525390625,,1.0024472651099354,1.0072107747142909,0.997549439850096,NOT_APPLICABLE
SPY,2004-12-17,DIVIDEND,2004-12-16,True,2004-12-20,120.80999755859375,119.45999908447266,119.44000244140625,119.47000122070312,81.1354751586914,80.59432983398438,,1.011300841155762,0.9997489011551824,1.0067144342017824,NOT_APPLICABLE
SPY,2005-03-18,DIVIDEND,2005-03-17,True,2005-03-21,119.36000061035156,119.11000061035156,118.54000091552734,118.0999984741211,80.54033660888672,80.30117797851562,,1.0020989001655523,1.0037256769440406,1.002978270510989,NOT_APPLICABLE
SPY,2005-06-17,DIVIDEND,2005-06-16,True,2005-06-20,121.4000015258789,121.54000091552734,121.36000061035156,121.4000015258789,82.23860168457031,82.54331970214844,,0.998848120877128,0.999670503171132,0.9963083866910408,NOT_APPLICABLE
