symbol,source_timestamp,source_timestamp_utc,session_date,boundary_status,action_type,amount,numerator,denominator,split_ratio,raw_event_json
SPY,1348234200,2012-09-21T13:30:00+00:00,2012-09-21,IN_SCOPE,DIVIDEND,0.779,,,,"{""amount"":0.779,""date"":1348234200}"
SPY,1356100200,2012-12-21T14:30:00+00:00,2012-12-21,IN_SCOPE,DIVIDEND,1.022,,,,"{""amount"":1.022,""date"":1356100200}"
SPY,1363354200,2013-03-15T13:30:00+00:00,2013-03-15,IN_SCOPE,DIVIDEND,0.694,,,,"{""amount"":0.694,""date"":1363354200}"
SPY,1371821400,2013-06-21T13:30:00+00:00,2013-06-21,IN_SCOPE,DIVIDEND,0.839,,,,"{""amount"":0.839,""date"":1371821400}"
SPY,1379683800,2013-09-20T13:30:00+00:00,2013-09-20,IN_SCOPE,DIVIDEND,0.838,,,,"{""amount"":0.838,""date"":1379683800}"
SPY,1387549800,2013-12-20T14:30:00+00:00,2013-12-20,IN_SCOPE,DIVIDEND,0.98,,,,"{""amount"":0.98,""date"":1387549800}"
SPY,1395408600,2014-03-21T13:30:00+00:00,2014-03-21,IN_SCOPE,DIVIDEND,0.825,,,,"{""amount"":0.825,""date"":1395408600}"
SPY,1403271000,2014-06-20T13:30:00+00:00,2014-06-20,IN_SCOPE,DIVIDEND,0.937,,,,"{""amount"":0.937,""date"":1403271000}"
SPY,1411133400,2014-09-19T13:30:00+00:00,2014-09-19,IN_SCOPE,DIVIDEND,0.939,,,,"{""amount"":0.939,""date"":1411133400}"
SPY,1418999400,2014-12-19T14:30:00+00:00,2014-12-19,IN_SCOPE,DIVIDEND,1.135,,,,"{""amount"":1.135,""date"":1418999400}"
SPY,1426858200,2015-03-20T13:30:00+00:00,2015-03-20,IN_SCOPE,DIVIDEND,0.931,,,,"{""amount"":0.931,""date"":1426858200}"
SPY,1434720600,2015-06-19T13:30:00+00:00,2015-06-19,IN_SCOPE,DIVIDEND,1.03,,,,"{""amount"":1.03,""date"":1434720600}"
SPY,1442583000,2015-09-18T13:30:00+00:00,2015-09-18,IN_SCOPE,DIVIDEND,1.033,,,,"{""amount"":1.033,""date"":1442583000}"
SPY,1450449000,2015-12-18T14:30:00+00:00,2015-12-18,IN_SCOPE,DIVIDEND,1.212,,,,"{""amount"":1.212,""date"":1450449000}"
SPY,1458307800,2016-03-18T13:30:00+00:00,2016-03-18,IN_SCOPE,DIVIDEND,1.05,,,,"{""amount"":1.05,""date"":1458307800}"
