Instrument,Event query start,Event query end,Dividend/distribution events,Split events in Research,TWSE ** marks,Events on TW sessions,History completeness
0052,2010-01-01,2018-12-31,4,0,0,4,UNRESOLVED
0050,2010-01-01,2018-12-31,8,0,0,8,UNRESOLVED
