symbol,field_name,classification,emitted,remediation_action
IWM,symbol,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
IWM,timezone,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
IWM,validRanges,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
DIA,chartPreviousClose,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
DIA,currency,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
DIA,currentTradingPeriod,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
DIA,dataGranularity,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
DIA,exchangeName,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
DIA,exchangeTimezoneName,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
DIA,fiftyTwoWeekHigh,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
DIA,fiftyTwoWeekLow,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
DIA,firstTradeDate,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
DIA,fullExchangeName,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
DIA,gmtoffset,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
DIA,hasPrePostMarketData,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
DIA,instrumentType,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
DIA,longName,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
DIA,priceHint,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
DIA,range,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
DIA,regularMarketDayHigh,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
DIA,regularMarketDayLow,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
