session_date,position_relative_to_event,provider_close,adj_close,reported_volume,provider_close_x_reported_volume,adj_close_div_provider_close,split_factor
2005-05-11,-20,59.23500061035156,44.75901794433594,32094000,1901088109.588623,0.7556177510448799,2.0
2005-05-12,-19,58.29999923706055,44.05252456665039,30449600,1775211656.7687988,0.7556179269835527,2.0
2005-05-13,-18,58.09000015258789,43.893821716308594,37347200,2169498853.6987305,0.7556175176624291,2.0
2005-05-16,-17,58.98500061035156,44.57011795043945,31343600,1848802265.1306152,0.7556178263837744,2.0
2005-05-17,-16,59.334999084472656,44.83458709716797,22691400,1346394198.2254028,0.7556178948168335,2.0
2005-05-18,-15,60.525001525878906,45.73377227783203,36759800,2224886951.0910034,0.7556178624510644,2.0
2005-05-19,-14,60.67499923706055,45.847129821777344,26642600,1616539734.6733093,0.7556181359417921,2.0
2005-05-20,-13,60.599998474121094,45.79043960571289,23165000,1403798964.6530151,0.7556178343018846,2.0
2005-05-23,-12,61.0,46.09269332885742,27477400,1676121400.0,0.7556179234238921,2.0
2005-05-24,-11,60.75,45.9037971496582,21963200,1334264400.0,0.7556180600766782,2.0
2005-05-25,-10,60.29499816894531,45.55997848510742,22453600,1353839770.8862305,0.7556178765848757,2.0
2005-05-26,-9,61.1349983215332,46.19470977783203,20049800,1225744489.3470764,0.7556180755068599,2.0
2005-05-27,-8,61.474998474121094,46.45158004760742,15095200,927977396.9665527,0.7556174249790665,2.0
2005-05-31,-7,61.345001220703125,46.35337448120117,19278200,1182621202.532959,0.755617793769927,2.0
2005-06-01,-6,62.040000915527344,46.87855529785156,26634800,1652423016.3848877,0.7556182238243458,2.0
2005-06-02,-5,62.209999084472656,47.00698471069336,14395000,895512936.8209839,0.755617833185696,2.0
2005-06-03,-4,61.755001068115234,46.66319274902344,21798200,1346147864.2829895,0.7556180380849534,2.0
2005-06-06,-3,61.98500061035156,46.836971282958984,16974800,1052182988.3605957,0.7556178240181732,2.0
2005-06-07,-2,62.11000061035156,46.931434631347656,25201400,1565258969.3817139,0.7556180030615848,2.0
2005-06-08,-1,61.71500015258789,46.632965087890625,18085800,1116165149.759674,0.7556180016623587,2.0
2005-06-09,0,62.31999969482422,47.09009552001953,21813800,1359436009.3429565,0.7556177110175828,2.0
2005-06-10,1,62.45000076293945,47.18833541870117,19949900,1245871270.2205658,0.7556178517567734,2.0
2005-06-13,2,62.72999954223633,47.399906158447266,21416100,1343431943.1964874,0.755617830453398,2.0
2005-06-14,3,63.27000045776367,47.80794906616211,14950400,945911814.84375,0.7556179661809334,2.0
2005-06-15,4,63.439998626708984,47.936405181884766,20371900,1292393308.0234528,0.755618004722071,2.0
2005-06-16,5,64.05999755859375,48.4048957824707,21612000,1384464667.2363281,0.7556181334255625,2.0
2005-06-17,6,64.0199966430664,48.37464904785156,20964800,1342166425.6225586,0.7556178004437729,2.0
2005-06-20,7,63.68000030517578,48.22773361206055,17148400,1092010117.2332764,0.7573450593740134,2.0
2005-06-21,8,63.86000061035156,48.364044189453125,13798200,881153060.4217529,0.7573448751519966,2.0
2005-06-22,9,64.01000213623047,48.4776611328125,15672300,1003183956.4796448,0.7573450947500209,2.0
2005-06-23,10,62.880001068115234,47.621829986572266,19600900,1232504612.93602,0.7573446116037047,2.0
2005-06-24,11,62.209999084472656,47.114437103271484,25158200,1565091598.96698,0.7573450859450509,2.0
2005-06-27,12,62.369998931884766,47.2356071472168,19839000,1237358408.8096619,0.7573450049085864,2.0
2005-06-28,13,63.34000015258789,47.970218658447266,18261700,1156696080.7865143,0.7573447828052672,2.0
2005-06-29,14,63.84000015258789,48.348915100097656,17068800,1089672194.6044922,0.7573451595322048,2.0
2005-06-30,15,63.70000076293945,48.24287414550781,28369700,1807149911.6443634,0.7573449539670246,2.0
2005-07-01,16,63.97999954223633,48.45492172241211,14988200,958945029.1389465,0.7573448275882628,2.0
2005-07-05,17,64.98999786376953,49.2198600769043,27172600,1765947215.953064,0.7573451560973703,2.0
2005-07-06,18,64.4000015258789,48.77301025390625,21094100,1358460072.1870422,0.7573448617746847,2.0
2005-07-07,19,64.58000183105469,48.909332275390625,32447900,2095485441.4138794,0.7573448573652953,2.0
2005-07-08,20,65.97000122070312,49.96205520629883,24967200,1647086214.477539,0.7573450702107827,2.0
