model,N,beta_semi_specific,hac_se,t,p_one_sided,ci95_lower,ci95_upper,adjusted_r_squared,effect_1sd_bps
H1,1938,0.022312440239105762,0.030883647826674857,0.7224677720820931,0.23504709587088207,-0.038256263656419334,0.08288114413463085,-0.00015592323059521185,1.9379300490330966
H2,2034,0.014480029460044262,0.0408172069937828,0.3547530692692871,0.36140570155718515,-0.06556790641738643,0.09452796533747494,-0.0003784241387574383,1.2722793987331258
H3,1850,0.025625978179432185,0.04351944509327389,0.5888397272646472,0.27802041833276164,-0.05972652918190843,0.1109784855407728,0.005126297297105009,2.2327029685187987
