model,N,beta_semi_specific,hac_se,t,p_one_sided,ci95_lower,ci95_upper,adjusted_r_squared,effect_1sd_bps
H1_0050,1929,0.026640691931360847,0.0300055635398071,0.8878584098584843,0.18736386120405968,-0.032206093699251384,0.08548747756197307,3.112206102717785e-06,2.3125368385135934
H2_0050,2034,0.015592029950783641,0.0405005502496674,0.3849831633068167,0.35014509026477736,-0.06383490021324861,0.09501896011481589,-0.0003587523047130503,1.3699846775554325
H3_0050,1842,0.021395261681035952,0.04352533758072909,0.49155877634154727,0.3115449930561312,-0.06396904609080209,0.10675956945287399,0.0054545528688010325,1.8616006913675491
H2_n_us_1,1973,-0.00536388864692838,0.04104010298878101,-0.130698713119572,0.551986505912614,-0.08585043761833135,0.07512266032447458,-0.0004929462367275761,-0.452697256035469
H3_n_us_1,1797,-0.006147755977338611,0.04291199056253829,-0.14326429272441013,0.5569512233868834,-0.09031052540693593,0.0780150134522587,0.004740108704218149,-0.5192684539850654
