block,start,end,positive,model,N,beta_semi_specific,hac_se,t,p_one_sided,ci95_lower,ci95_upper,adjusted_r_squared,effect_1sd_bps
2010-2012,2010-01-01,2012-12-31,True,H2_2010-2012,697,0.01718991893165543,0.06418131526089926,0.2678336967975464,0.394453399480044,-0.10882259562920486,0.1432024334925157,-0.001298107889027733,1.6308632033806796
2013-2015,2013-01-01,2015-12-31,True,H2_2013-2015,673,0.09703280855671413,0.09093953755312806,1.0670035406769725,0.14317699086180205,-0.0815274907331738,0.27559310784660207,0.002978214218421704,8.44399941337603
2016-2018,2016-01-01,2018-12-31,False,H2_2016-2018,664,-0.08097746976389415,0.043396286058198605,-1.8659999995228982,0.9687583115549976,-0.16618841758890085,0.0042334780611125306,0.004288771605106323,-6.549616787315893
