target_session,event_date,event_type,affected_leg
2010-05-03,2010-05-03,CASH_DISTRIBUTION,H1
2012-05-07,2012-05-07,CASH_DISTRIBUTION,H1
2014-05-06,2014-05-06,CASH_DISTRIBUTION,H1
2016-05-04,2016-05-04,CASH_DISTRIBUTION,H1
2017-05-03,2017-05-03,CASH_DISTRIBUTION,H1
2018-05-03,2018-05-03,CASH_DISTRIBUTION,H1
