year,official_TW_sessions,0052_no_OHLC_sessions,fraction_no_OHLC
2010,251,6,0.02390438247011952
2011,247,2,0.008097165991902834
2012,250,14,0.056
2013,246,17,0.06910569105691057
2014,248,17,0.06854838709677419
2015,244,6,0.02459016393442623
2016,244,27,0.11065573770491803
2017,246,18,0.07317073170731707
2018,247,1,0.004048582995951417
