Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2000-01-03,7.201330184936523,6.6082587242126465,11.052190780639648,18.03050994873047,20.601821899414062,12.055171966552734,5.4780731201171875,20.350988388061523,11.128852844238281
2000-01-04,7.132007122039795,6.4838666915893555,10.569034576416016,17.532381057739258,19.556638717651367,11.715712547302246,5.312827110290527,19.889183044433594,10.794068336486816
2000-01-05,7.426638603210449,6.654906272888184,10.485987663269043,17.454233169555664,19.26629638671875,11.922701835632324,5.446897029876709,19.710763931274414,10.661304473876953
2000-01-06,7.617293357849121,6.911463737487793,10.946497917175293,17.68865966796875,18.627582550048828,12.14625358581543,5.43754243850708,19.773744583129883,10.782520294189453
2000-01-07,7.612958908081055,6.985321521759033,11.127678871154785,18.362611770629883,18.952749252319336,12.91626262664795,5.484309673309326,20.0151309967041,11.290477752685547
2000-01-10,7.586962699890137,6.927009582519531,10.931400299072266,18.362611770629883,19.67276954650879,12.62647819519043,5.503018379211426,22.061777114868164,11.232755661010742
2000-01-11,7.495969772338867,6.934784889221191,10.750216484069824,18.128189086914062,19.115333557128906,12.62647819519043,5.443778991699219,21.474016189575195,11.169260025024414
2000-01-12,7.387648105621338,6.903687477111816,10.961594581604004,17.913305282592773,19.034042358398438,12.692708015441895,5.387655258178711,21.117168426513672,11.105770111083984
2000-01-13,7.417974472045898,7.024190425872803,11.293763160705566,18.255155563354492,19.20823860168457,12.758950233459473,5.337773323059082,21.746910095214844,11.16348934173584
2000-01-14,7.365982532501221,6.981433391571045,11.557995796203613,18.128189086914062,19.649538040161133,12.800344467163086,5.381420612335205,21.5579833984375,11.134624481201172
2000-01-18,7.188331127166748,7.066948413848877,11.172980308532715,18.108652114868164,19.75405502319336,12.585073471069336,5.35959529876709,21.159151077270508,11.07113265991211
2000-01-19,7.049678325653076,7.04362678527832,11.13523006439209,18.050050735473633,19.788890838623047,12.676153182983398,5.362717628479004,21.662940979003906,11.048040390014648
2000-01-20,6.863365173339844,7.04362678527832,10.931400299072266,17.93283462524414,19.90503692626953,12.502269744873047,5.387655258178711,21.49500846862793,10.897968292236328
2000-01-21,6.893692970275879,7.2379865646362305,10.795517921447754,17.70819664001465,19.92825698852539,12.361522674560547,5.562258243560791,21.453033447265625,10.672849655151367
2000-01-24,6.711709022521973,6.981433391571045,10.59923267364502,17.200288772583008,19.277921676635742,12.005501747131348,5.487427711486816,20.81279945373535,10.274565696716309
2000-01-25,6.586055278778076,6.965884685516357,10.7124662399292,17.102619171142578,19.690185546875,11.85646915435791,5.35959529876709,20.959747314453125,10.338062286376953
2000-01-26,6.586055278778076,6.857040882110596,11.112581253051758,17.239360809326172,19.045654296875,11.964098930358887,5.334654808044434,20.865285873413086,10.413100242614746
2000-01-27,6.620719909667969,6.71710205078125,11.233366012573242,17.337034225463867,18.859838485717773,12.187640190124512,5.300356388092041,20.73932647705078,10.384238243103027
2000-01-28,6.508061408996582,6.6393561363220215,10.840806007385254,16.87796401977539,18.186277389526367,12.08829402923584,5.27229642868042,20.319507598876953,9.974411964416504
2000-01-31,6.46906852722168,6.7948455810546875,11.142782211303711,16.995180130004883,18.790159225463867,12.311853408813477,5.515491008758545,20.225051879882812,10.049455642700195
2000-02-01,6.586055278778076,6.779294967651367,11.203171730041504,16.87796401977539,19.18501091003418,12.187640190124512,5.4749579429626465,20.487428665161133,10.413100242614746
2000-02-02,6.616384506225586,6.822057723999023,11.089937210083008,16.887731552124023,19.32436180114746,12.21249008178711,5.446897029876709,20.991222381591797,10.343831062316895
2000-02-03,6.50372838973999,6.740425109863281,11.021989822387695,16.87796401977539,19.881805419921875,12.04689884185791,5.43754243850708,21.180143356323242,10.384238243103027
