Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,SPY
2000-01-03,7.201329231262207,6.6082611083984375,11.052180290222168,18.030506134033203,20.601821899414062,12.055184364318848,5.478078365325928,20.350990295410156,11.128856658935547,91.13276672363281
2000-01-04,7.132000923156738,6.48386812210083,10.569035530090332,17.532384872436523,19.556631088256836,11.715707778930664,5.312828063964844,19.88918685913086,10.794061660766602,87.56892395019531
2000-01-05,7.42664098739624,6.654904842376709,10.485986709594727,17.454242706298828,19.266300201416016,11.922700881958008,5.446896553039551,19.710756301879883,10.66130256652832,87.72554016113281
2000-01-06,7.61729097366333,6.91146183013916,10.94649887084961,17.688657760620117,18.62757682800293,12.146252632141113,5.4375433921813965,19.77373695373535,10.782524108886719,86.31565856933594
2000-01-07,7.612957954406738,6.985317707061768,11.127676010131836,18.36260223388672,18.952754974365234,12.916268348693848,5.484309673309326,20.015127182006836,11.290477752685547,91.3285903930664
2000-01-10,7.5869622230529785,6.927013397216797,10.931400299072266,18.36260223388672,19.672767639160156,12.626471519470215,5.503016948699951,22.061777114868164,11.232756614685059,91.64188385009766
2000-01-11,7.495973587036133,6.934784412384033,10.750214576721191,18.12818717956543,19.115339279174805,12.626471519470215,5.443777561187744,21.47402572631836,11.169262886047363,90.54527282714844
2000-01-12,7.387645721435547,6.903690338134766,10.961596488952637,17.913312911987305,19.034034729003906,12.692709922790527,5.387656211853027,21.117168426513672,11.105765342712402,89.64458465576172
2000-01-13,7.4179792404174805,7.024194240570068,11.293767929077148,18.255157470703125,19.208234786987305,12.758951187133789,5.337769508361816,21.746919631958008,11.16348934173584,90.85860443115234
2000-01-14,7.3659868240356445,6.981433391571045,11.557988166809082,18.12818717956543,19.6495361328125,12.800348281860352,5.381418704986572,21.55799102783203,11.13463020324707,92.09222412109375
2000-01-18,7.188329696655273,7.066952228546143,11.172977447509766,18.10865592956543,19.754056930541992,12.585082054138184,5.359598636627197,21.159162521362305,11.071135520935059,91.36771392822266
2000-01-19,7.049677848815918,7.0436296463012695,11.135236740112305,18.050052642822266,19.788894653320312,12.67614459991455,5.362715721130371,21.66293716430664,11.048043251037598,92.1117935180664
2000-01-20,6.86336088180542,7.0436296463012695,10.931400299072266,17.93284034729004,19.905025482177734,12.502274513244629,5.387656211853027,21.495019912719727,10.897969245910645,90.7019271850586
2000-01-21,6.893690586090088,7.237987995147705,10.795516014099121,17.708189010620117,19.92826271057129,12.361529350280762,5.562256813049316,21.453035354614258,10.67284870147705,90.50614166259766
2000-01-24,6.71171236038208,6.981433391571045,10.599227905273438,17.200288772583008,19.277917861938477,12.005497932434082,5.487430095672607,20.812807083129883,10.274567604064941,87.94097137451172
2000-01-25,6.586052894592285,6.965884685516357,10.71246337890625,17.10261344909668,19.690183639526367,11.85647201538086,5.359598636627197,20.959735870361328,10.338061332702637,88.93963623046875
2000-01-26,6.586052894592285,6.857041358947754,11.112580299377441,17.23935317993164,19.045656204223633,11.964105606079102,5.33465576171875,20.865276336669922,10.413100242614746,88.23472595214844
2000-01-27,6.620717525482178,6.717104434967041,11.233367919921875,17.337026596069336,18.859838485717773,12.187653541564941,5.300357818603516,20.73933219909668,10.384236335754395,87.88226318359375
2000-01-28,6.50806188583374,6.639355659484863,10.840810775756836,16.877971649169922,18.186275482177734,12.088300704956055,5.272296905517578,20.319501876831055,9.974409103393555,85.14077758789062
2000-01-31,6.469069004058838,6.794845104217529,11.142767906188965,16.995166778564453,18.790164947509766,12.311845779418945,5.515491485595703,20.225040435791016,10.049450874328613,87.451416015625
2000-02-01,6.586052894592285,6.779297351837158,11.203177452087402,16.877971649169922,19.18501091003418,12.187653541564941,5.4749579429626465,20.4874267578125,10.413100242614746,88.31298828125
2000-02-02,6.616387844085693,6.822057247161865,11.08993148803711,16.88774299621582,19.324371337890625,12.212491035461426,5.446896553039551,20.991235733032227,10.343832015991211,88.39131164550781
2000-02-03,6.503727912902832,6.740425109863281,11.021986961364746,16.877971649169922,19.88180160522461,12.046892166137695,5.4375433921813965,21.18014907836914,10.384236335754395,89.72288513183594
2000-02-04,6.495065212249756,6.546064376831055,10.908753395080566,16.946334838867188,20.11407470703125,12.038616180419922,5.409482479095459,21.253612518310547,10.366921424865723,89.35083770751953
2000-02-07,6.36940860748291,6.6199188232421875,10.795516014099121,16.653324127197266,20.346330642700195,12.02206039428711,5.393892288208008,20.907258987426758,10.147573471069336,89.21378326416016
