W,S,proxy,label,research_n,research_mean_ic,research_median_ic,research_hit_rate_ic,research_p1_nominal,research_p2_nominal,oos_seen_n,oos_seen_mean_ic,oos_seen_median_ic,oos_seen_hit_rate_ic,oos_seen_p1_nominal,oos_seen_p2_nominal,oos_b1_n,oos_b1_mean_ic,oos_b1_median_ic,oos_b1_hit_rate_ic,oos_b1_p1_nominal,oos_b1_p2_nominal,oos_b2_n,oos_b2_mean_ic,oos_b2_median_ic,oos_b2_hit_rate_ic,oos_b2_p1_nominal,oos_b2_p2_nominal,oos_b3_n,oos_b3_mean_ic,oos_b3_median_ic,oos_b3_hit_rate_ic,oos_b3_p1_nominal,oos_b3_p2_nominal,oos_positive_ic_blocks,oos_ic_block_range,oos_ic_sign_stability,research_p1_holm,research_p2_holm,oos_seen_p1_holm,oos_seen_p2_holm,oos_b1_p1_holm,oos_b1_p2_holm,oos_b2_p1_holm,oos_b2_p2_holm,oos_b3_p1_holm,oos_b3_p2_holm,oos_w_monotonicity,oos_s_monotonicity,cost_bps,research_spread_bruto_aa_log,research_custo_aa,research_liquido_aa_log,research_liquido_aa_composto,research_liquido_simples_cagr,research_volatilidade_log,research_sharpe_log,research_turnover,research_drawdown_congelado_log,research_drawdown_convencional,oos_seen_spread_bruto_aa_log,oos_seen_custo_aa,oos_seen_liquido_aa_log,oos_seen_liquido_aa_composto,oos_seen_liquido_simples_cagr,oos_seen_volatilidade_log,oos_seen_sharpe_log,oos_seen_turnover,oos_seen_drawdown_congelado_log,oos_seen_drawdown_convencional,oos_b1_spread_bruto_aa_log,oos_b1_custo_aa,oos_b1_liquido_aa_log,oos_b1_liquido_aa_composto,oos_b1_liquido_simples_cagr,oos_b1_volatilidade_log,oos_b1_sharpe_log,oos_b1_turnover,oos_b1_drawdown_congelado_log,oos_b1_drawdown_convencional,oos_b2_spread_bruto_aa_log,oos_b2_custo_aa,oos_b2_liquido_aa_log,oos_b2_liquido_aa_composto,oos_b2_liquido_simples_cagr,oos_b2_volatilidade_log,oos_b2_sharpe_log,oos_b2_turnover,oos_b2_drawdown_congelado_log,oos_b2_drawdown_convencional,oos_b3_spread_bruto_aa_log,oos_b3_custo_aa,oos_b3_liquido_aa_log,oos_b3_liquido_aa_composto,oos_b3_liquido_simples_cagr,oos_b3_volatilidade_log,oos_b3_sharpe_log,oos_b3_turnover,oos_b3_drawdown_congelado_log,oos_b3_drawdown_convencional
126,10,SPY,POST_OOS_EXPLORATORY — NOT VALIDATION — CANNOT RESCUE RSR_001,213,0.041314553990610334,0.08333333333333334,0.5633802816901409,0.04559088182363527,0.04799040191961608,88,-0.048674242424242425,-0.058333333333333334,0.4318181818181818,0.9038192361527695,0.8346330733853229,30,-0.07333333333333333,-0.058333333333333334,0.43333333333333335,0.8660267946410718,0.6796640671865627,30,-0.05444444444444443,-0.025,0.43333333333333335,0.8076384723055389,0.7594481103779244,28,-0.016071428571428563,-0.06666666666666667,0.42857142857142855,0.6018796240751849,0.5700859828034394,0,0.05726190476190477,ALL_NONPOSITIVE,0.4559088182363527,0.47990401919616077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NON_MONOTONIC,NONDECREASING,5,0.034199521405553594,0.015981220657276994,0.01821830074827659,0.01838526639156126,0.012500887355862522,0.1108126066610286,0.16440639108874727,2.6635367762128324,-0.3130966292320095,-0.26882074413477,-0.072267386285853,0.015863636363636364,-0.08813102264948935,-0.08435910083298105,-0.0945892185233147,0.1495531000120087,-0.589295859747559,2.643939393939394,-0.7676666349454941,-0.5359052917357183,-0.15245378051943015,0.0156,-0.16805378051943018,-0.15469162766116767,-0.1685194824573789,0.170979873814902,-0.9828863290737977,2.6,-0.48967630330772416,-0.3871752685793637,-0.0016099481889424228,0.015599999999999996,-0.017209948188942406,-0.017062702935043264,-0.01802626059252932,0.14350381560848607,-0.1199267637307666,2.6,-0.2042550488085167,-0.1847455849982529,-0.06205779042513879,0.016428571428571428,-0.07848636185371019,-0.07548533148812964,-0.09069563789883672,0.1322310292233742,-0.593554798103593,2.7380952380952377,-0.22921035042160184,-0.20483874659290435
126,10,SPY,POST_OOS_EXPLORATORY — NOT VALIDATION — CANNOT RESCUE RSR_001,213,0.041314553990610334,0.08333333333333334,0.5633802816901409,0.04559088182363527,0.04799040191961608,88,-0.048674242424242425,-0.058333333333333334,0.4318181818181818,0.9038192361527695,0.8346330733853229,30,-0.07333333333333333,-0.058333333333333334,0.43333333333333335,0.8660267946410718,0.6796640671865627,30,-0.05444444444444443,-0.025,0.43333333333333335,0.8076384723055389,0.7594481103779244,28,-0.016071428571428563,-0.06666666666666667,0.42857142857142855,0.6018796240751849,0.5700859828034394,0,0.05726190476190477,ALL_NONPOSITIVE,0.4559088182363527,0.47990401919616077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NON_MONOTONIC,NONDECREASING,10,0.034199521405553594,0.03196244131455399,0.002237080090999606,0.002239584221631811,-0.003574188897113695,0.11099247677015,0.020155240752328538,2.6635367762128324,-0.4385435666880234,-0.3550248994229519,-0.072267386285853,0.03172727272727273,-0.10399465901312571,-0.09876988913345666,-0.10899609339852823,0.1496808494041178,-0.694775981210224,2.643939393939394,-0.8699999682788274,-0.5810484374627265,-0.15245378051943015,0.0312,-0.18365378051943015,-0.1677761139244943,-0.18166755015402147,0.17138163890795105,-1.0716070968259934,2.6,-0.5153429699743908,-0.40270429500789384,-0.0016099481889424228,0.03119999999999999,-0.03280994818894241,-0.03227754048074618,-0.03326901348372324,0.14348183639272818,-0.22866969794795053,2.6,-0.22458838214185006,-0.2011550300496704,-0.06205779042513879,0.032857142857142856,-0.09491493328228162,-0.09054970487068933,-0.10564022977471721,0.13216882702664406,-0.7181340367282492,2.7380952380952377,-0.24364926605403053,-0.21623752183182798
126,10,SPY,POST_OOS_EXPLORATORY — NOT VALIDATION — CANNOT RESCUE RSR_001,213,0.041314553990610334,0.08333333333333334,0.5633802816901409,0.04559088182363527,0.04799040191961608,88,-0.048674242424242425,-0.058333333333333334,0.4318181818181818,0.9038192361527695,0.8346330733853229,30,-0.07333333333333333,-0.058333333333333334,0.43333333333333335,0.8660267946410718,0.6796640671865627,30,-0.05444444444444443,-0.025,0.43333333333333335,0.8076384723055389,0.7594481103779244,28,-0.016071428571428563,-0.06666666666666667,0.42857142857142855,0.6018796240751849,0.5700859828034394,0,0.05726190476190477,ALL_NONPOSITIVE,0.4559088182363527,0.47990401919616077,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NON_MONOTONIC,NONDECREASING,20,0.034199521405553594,0.06392488262910798,-0.029725361223554396,-0.02928790787556585,-0.0350307808574295,0.11140640054535908,-0.26681915112634597,2.6635367762128324,-0.8651916129493807,-0.5790291185734489,-0.072267386285853,0.06345454545454546,-0.13572193174039843,-0.12691462393148023,-0.13718796452898496,0.14998412571279432,-0.9049086434673316,2.643939393939394,-1.0849994183695724,-0.6620980175712695,-0.15245378051943015,0.0624,-0.21485378051943016,-0.19334061912982906,-0.20740194643335308,0.17223898343023902,-1.2474166779232714,2.6,-0.5770090867318021,-0.438424519179784,-0.0016099481889424228,0.06239999999999998,-0.0640099481889424,-0.0620043318738194,-0.06311121522812546,0.14347699997458488,-0.44613386257226556,2.6,-0.2652550488085167,-0.23298970003636077,-0.06205779042513879,0.06571428571428571,-0.12777207613942448,-0.11994605842082719,-0.1348617868189228,0.13209445268098624,-0.9672781373189041,2.7380952380952377,-0.3142422254692987,-0.26965790072579654
126,10,EQUAL_WEIGHT_9,POST_OOS_EXPLORATORY — NOT VALIDATION — CANNOT RESCUE RSR_001,213,0.033881064162754305,0.06666666666666667,0.5586854460093896,0.08638272345530894,0.08718256348730254,88,-0.03863636363636362,-0.049999999999999996,0.4318181818181818,0.8498300339932013,0.7792441511697661,30,-0.07944444444444444,-0.041666666666666664,0.4,0.8850229954009198,0.7370525894821036,30,-0.033888888888888885,-0.05,0.43333333333333335,0.7094581083783243,0.642871425714857,28,1.586032892321652e-17,-0.049999999999999996,0.4642857142857143,0.4959008198360328,0.48210357928414316,1,0.07944444444444446,MIXED,0.4667066586682663,0.5556888622275545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NONINCREASING,NON_MONOTONIC,5,0.026842565925115462,0.01584976525821596,0.010992800666899501,0.011053443507995623,0.004622868826587023,0.11115401690269416,0.09889701670901159,2.6416275430359937,-0.44220587974925674,-0.3573826800572416,-0.03829988388503173,0.016045454545454547,-0.054345338430486265,-0.05289502172662778,-0.0655509920688776,0.1502228828939054,-0.3617647150924906,2.674242424242424,-0.5120601876074429,-0.4007402812486155,-0.09784680868348594,0.015333333333333329,-0.11318014201681928,-0.10701021935421007,-0.1285332354865959,0.15574099701433608,-0.7267202868002762,2.5555555555555554,-0.33982499047527476,-0.28810509975068466,0.02294135352499167,0.016266666666666665,0.006674686858325007,0.006697012224622209,0.007106172295675561,0.1488420416975159,0.04484409634671388,2.7111111111111112,-0.21050696602491664,-0.1898265885544803,-0.04011521882599872,0.01657142857142857,-0.05668664739742731,-0.055109893243845,-0.0706430946998785,0.14900648710854744,-0.38043073491245066,2.7619047619047623,-0.1536652410984517,-0.1424409515086391
126,10,EQUAL_WEIGHT_9,POST_OOS_EXPLORATORY — NOT VALIDATION — CANNOT RESCUE RSR_001,213,0.033881064162754305,0.06666666666666667,0.5586854460093896,0.08638272345530894,0.08718256348730254,88,-0.03863636363636362,-0.049999999999999996,0.4318181818181818,0.8498300339932013,0.7792441511697661,30,-0.07944444444444444,-0.041666666666666664,0.4,0.8850229954009198,0.7370525894821036,30,-0.033888888888888885,-0.05,0.43333333333333335,0.7094581083783243,0.642871425714857,28,1.586032892321652e-17,-0.049999999999999996,0.4642857142857143,0.4959008198360328,0.48210357928414316,1,0.07944444444444446,MIXED,0.4667066586682663,0.5556888622275545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NONINCREASING,NON_MONOTONIC,10,0.026842565925115462,0.03169953051643192,-0.004856964591316458,-0.004845188611681917,-0.011207922875878462,0.11133823714549203,-0.043623509010382346,2.6416275430359937,-0.53713476230034,-0.41557964101639144,-0.03829988388503173,0.032090909090909094,-0.07039079297594081,-0.06797048186175934,-0.0805585251487223,0.15041248606792884,-0.4679850377857004,2.674242424242424,-0.6190601876074429,-0.46154975791293096,-0.09784680868348594,0.030666666666666658,-0.12851347535015262,-0.12059828790742282,-0.14199979491085157,0.15600545819255734,-0.8237755065693189,2.5555555555555554,-0.3724916571419414,-0.31098460010841644,0.02294135352499167,0.03253333333333333,-0.009591979808341668,-0.009546123504720392,-0.009190265194975344,0.14904471274580866,-0.06435639098919602,2.7111111111111112,-0.23150696602491663,-0.2066628309226115,-0.04011521882599872,0.03314285714285714,-0.07325807596885582,-0.07063904665453065,-0.0860528552010934,0.14914146889178642,-0.49119856813271817,2.7619047619047623,-0.18399857443178497,-0.16806301019124414
126,10,EQUAL_WEIGHT_9,POST_OOS_EXPLORATORY — NOT VALIDATION — CANNOT RESCUE RSR_001,213,0.033881064162754305,0.06666666666666667,0.5586854460093896,0.08638272345530894,0.08718256348730254,88,-0.03863636363636362,-0.049999999999999996,0.4318181818181818,0.8498300339932013,0.7792441511697661,30,-0.07944444444444444,-0.041666666666666664,0.4,0.8850229954009198,0.7370525894821036,30,-0.033888888888888885,-0.05,0.43333333333333335,0.7094581083783243,0.642871425714857,28,1.586032892321652e-17,-0.049999999999999996,0.4642857142857143,0.4959008198360328,0.48210357928414316,1,0.07944444444444446,MIXED,0.4667066586682663,0.5556888622275545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NONINCREASING,NON_MONOTONIC,20,0.026842565925115462,0.06339906103286384,-0.03655649510774839,-0.03589637478045579,-0.04219209183949646,0.11176414214805716,-0.32708607971348225,2.6416275430359937,-0.9493218017793225,-0.6129966005101055,-0.03829988388503173,0.06418181818181819,-0.1024817020668499,-0.09740533478132851,-0.10991877140749895,0.15083274001923444,-0.6794393714108837,2.674242424242424,-0.8412377340968826,-0.5688234888549706,-0.09784680868348594,0.061333333333333316,-0.15918014201681926,-0.14715728767578892,-0.16836876874923512,0.1565807624975241,-1.0166008868384218,2.5555555555555554,-0.43782499047527473,-0.3545612691009514,0.02294135352499167,0.06506666666666666,-0.042125313141675,-0.04125037088374074,-0.0410658472757498,0.1494860198821989,-0.2818010217602387,2.7111111111111112,-0.27350696602491664,-0.23929296276676837,-0.04011521882599872,0.06628571428571428,-0.10640093311171298,-0.10093588876657168,-0.11617752217068222,0.14945213936580093,-0.7119398461823602,2.7619047619047623,-0.2547690803364928,-0.22490453791959175
126,21,SPY,POST_OOS_EXPLORATORY — NOT VALIDATION — CANNOT RESCUE RSR_001,213,0.03341158059467919,0.03333333333333333,0.5352112676056338,0.07778444311137772,0.09138172365526895,88,-0.03257575757575757,0.025,0.5113636363636364,0.8064387122575485,0.753249350129974,30,0.036666666666666674,0.08333333333333334,0.6,0.27634473105378926,0.25574885022995403,30,-0.03833333333333334,-0.05,0.4666666666666667,0.7230553889222155,0.6668666266746651,28,-0.10059523809523807,-0.06666666666666667,0.4642857142857143,0.9388122375524895,0.8830233953209358,1,0.13726190476190475,MIXED,0.4667066586682663,0.5556888622275545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NON_MONOTONIC,NONDECREASING,5,0.05006505193806411,0.016600938967136148,0.03346411297092797,0.034030334783731915,0.02861597106427527,0.10265193535061999,0.3259959284413614,2.7668231611893592,-0.29204679231022496,-0.25326640623412455,-0.0527375942027936,0.015181818181818182,-0.06791941238461179,-0.06566423356527423,-0.0717773205017519,0.1312813094344474,-0.5173578225050073,2.5303030303030303,-0.619475312388169,-0.4617732355628448,0.011994429064340676,0.014666666666666665,-0.002672237602325991,-0.0026686703536438336,-0.0017245188724969163,0.12679480099094181,-0.021075293162192785,2.4444444444444438,-0.23996337004696022,-0.2133433242640992,0.013887555937682278,0.015600000000000003,-0.0017124440623177215,-0.0017109786665732054,-0.003894579076825555,0.1269897711680935,-0.013484897614714162,2.5999999999999996,-0.10421701764031349,-0.09897026314541857,-0.19347742285380448,0.015285714285714286,-0.20876313713951872,-0.18841255219703087,-0.20392443677279803,0.13576150797569247,-1.537719639773719,2.5476190476190474,-0.4957263272116842,-0.3908716798900953
126,21,SPY,POST_OOS_EXPLORATORY — NOT VALIDATION — CANNOT RESCUE RSR_001,213,0.03341158059467919,0.03333333333333333,0.5352112676056338,0.07778444311137772,0.09138172365526895,88,-0.03257575757575757,0.025,0.5113636363636364,0.8064387122575485,0.753249350129974,30,0.036666666666666674,0.08333333333333334,0.6,0.27634473105378926,0.25574885022995403,30,-0.03833333333333334,-0.05,0.4666666666666667,0.7230553889222155,0.6668666266746651,28,-0.10059523809523807,-0.06666666666666667,0.4642857142857143,0.9388122375524895,0.8830233953209358,1,0.13726190476190475,MIXED,0.4667066586682663,0.5556888622275545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NON_MONOTONIC,NONDECREASING,10,0.05006505193806411,0.033201877934272296,0.01686317400379181,0.017006159923959298,0.011707023046524823,0.10258910945325195,0.16437586887793446,2.7668231611893592,-0.34204679231022495,-0.28968503334673645,-0.0527375942027936,0.030363636363636363,-0.08310123056642996,-0.07974201573227407,-0.08586913270018603,0.1312731671779632,-0.6330404937497398,2.5303030303030303,-0.7208086457215023,-0.5136411950665573,0.011994429064340676,0.02933333333333333,-0.01733890426899265,-0.01718945050319752,-0.01624857904705035,0.12655626502094766,-0.13700549922299543,2.4444444444444438,-0.25796337004696024,-0.22737646724767868,0.013887555937682278,0.031200000000000006,-0.0173124440623177,-0.017163444788878744,-0.019359018612384427,0.1271370154579108,-0.1361715468934305,2.5999999999999996,-0.1082170176403135,-0.10256718345632254,-0.19347742285380448,0.030571428571428572,-0.224048851425233,-0.20072391236040715,-0.216256247947877,0.13581365844799673,-1.649678345945019,2.5476190476190474,-0.5213929938783508,-0.4063070389680895
126,21,SPY,POST_OOS_EXPLORATORY — NOT VALIDATION — CANNOT RESCUE RSR_001,213,0.03341158059467919,0.03333333333333333,0.5352112676056338,0.07778444311137772,0.09138172365526895,88,-0.03257575757575757,0.025,0.5113636363636364,0.8064387122575485,0.753249350129974,30,0.036666666666666674,0.08333333333333334,0.6,0.27634473105378926,0.25574885022995403,30,-0.03833333333333334,-0.05,0.4666666666666667,0.7230553889222155,0.6668666266746651,28,-0.10059523809523807,-0.06666666666666667,0.4642857142857143,0.9388122375524895,0.8830233953209358,1,0.13726190476190475,MIXED,0.4667066586682663,0.5556888622275545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NON_MONOTONIC,NONDECREASING,20,0.05006505193806411,0.06640375586854459,-0.01633870393048049,-0.016205951292767008,-0.021354897883631763,0.102522838507971,-0.15936648036925138,2.7668231611893592,-0.6256235600946595,-0.4650722351075719,-0.0527375942027936,0.06072727272727273,-0.11346486693006633,-0.10726443959889896,-0.1134724605318248,0.13130952444777436,-0.8641023368810892,2.5303030303030303,-0.923475312388169,-0.6028635332455025,0.011994429064340676,0.05866666666666666,-0.046672237602325986,-0.04559983718306378,-0.04472329577887513,0.12613106999803128,-0.3700296651971197,2.4444444444444438,-0.2939633700469602,-0.25469620861383346,0.013887555937682278,0.06240000000000001,-0.04851244406231773,-0.04735451554770144,-0.0496362039199546,0.12748369550159838,-0.380538420002968,2.5999999999999996,-0.11621701764031347,-0.10971800456655911,-0.19347742285380448,0.061142857142857145,-0.2546202799966616,-0.22478919487010304,-0.24040215736244197,0.1359746833820857,-1.8725565205486414,2.5476190476190474,-0.5733468641042344,-0.4363641342554928
126,21,EQUAL_WEIGHT_9,POST_OOS_EXPLORATORY — NOT VALIDATION — CANNOT RESCUE RSR_001,213,0.033568075117370894,0.03333333333333333,0.5258215962441315,0.07998400319936012,0.09098180363927215,88,-0.03920454545454545,0.041666666666666664,0.5227272727272727,0.8534293141371726,0.794241151769646,30,0.03222222222222223,0.08333333333333334,0.6333333333333333,0.30193961207758446,0.2819436112777445,30,-0.012222222222222216,0.05,0.5333333333333333,0.5750849830033993,0.5504899020195961,28,-0.14464285714285713,-0.10833333333333332,0.39285714285714285,0.9852029594081184,0.9522095580883824,1,0.17686507936507936,MIXED,0.4667066586682663,0.5556888622275545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NONINCREASING,NON_MONOTONIC,5,0.04556366378330659,0.016657276995305163,0.028906386788001427,0.029328231242837895,0.023659267349340762,0.1030254980798613,0.28057507439172324,2.7762128325508604,-0.29006575327015705,-0.251785631580422,-0.04324983941032145,0.015227272727272726,-0.058477112137594184,-0.056800172019497094,-0.06317905316950867,0.13414482568885266,-0.4359252161781562,2.5378787878787876,-0.5572738599068751,-0.4272316157234206,0.011068894471005973,0.014800000000000004,-0.0037311055289940198,-0.0037241536035698677,-0.0026514969382975817,0.11985121518293525,-0.03113114475559581,2.4666666666666663,-0.26906763095398867,-0.235908422341629,0.039079605774896574,0.015999999999999993,0.023079605774896587,0.023348000715370566,0.01919889868569613,0.13548590123619922,0.1703469184934658,2.666666666666666,-0.09228594547905007,-0.088155625513339,-0.18965860269590584,0.014857142857142857,-0.20451574555304874,-0.1849580914691331,-0.1995996479397345,0.14178280332137885,-1.4424580468300745,2.476190476190476,-0.4860455138699919,-0.38494618680281867
