source_timestamp_utc,open,high,low,close,adj_close,volume,session_date
2010-01-04 14:30:00+00:00,112.37000274658203,113.38999938964844,111.51000213623047,113.33000183105469,84.5784912109375,118944600,2010-01-04
2010-01-05 14:30:00+00:00,113.26000213623047,113.68000030517578,112.8499984741211,113.62999725341797,84.8023452758789,111579900,2010-01-05
2010-01-06 14:30:00+00:00,113.5199966430664,113.98999786376953,113.43000030517578,113.70999908447266,84.862060546875,116074400,2010-01-06
2010-01-07 14:30:00+00:00,113.5,114.33000183105469,113.18000030517578,114.19000244140625,85.22030639648438,131091100,2010-01-07
2010-01-08 14:30:00+00:00,113.88999938964844,114.62000274658203,113.66000366210938,114.56999969482422,85.50389099121094,126402800,2010-01-08
2010-01-11 14:30:00+00:00,115.08000183105469,115.12999725341797,114.23999786376953,114.7300033569336,85.62333679199219,106375700,2010-01-11
2010-01-12 14:30:00+00:00,113.97000122070312,114.20999908447266,113.22000122070312,113.66000366210938,84.82477569580078,163333500,2010-01-12
2010-01-13 14:30:00+00:00,113.94999694824219,114.94000244140625,113.37000274658203,114.62000274658203,85.54120635986328,161822000,2010-01-13
2010-01-14 14:30:00+00:00,114.48999786376953,115.13999938964844,114.41999816894531,114.93000030517578,85.77255249023438,115718800,2010-01-14
2010-01-15 14:30:00+00:00,114.7300033569336,114.83999633789062,113.19999694824219,113.63999938964844,84.80985260009766,212283100,2010-01-15
2010-01-19 14:30:00+00:00,113.62000274658203,115.12999725341797,113.58999633789062,115.05999755859375,85.86958312988281,139172700,2010-01-19
2010-01-20 14:30:00+00:00,114.27999877929688,114.44999694824219,112.9800033569336,113.88999938964844,84.99641418457031,216490200,2010-01-20
2010-01-21 14:30:00+00:00,113.91999816894531,114.2699966430664,111.55999755859375,111.69999694824219,83.36199951171875,344859600,2010-01-21
2010-01-22 14:30:00+00:00,111.19999694824219,111.73999786376953,109.08999633789062,109.20999908447266,81.50373077392578,345942400,2010-01-22
2010-01-25 14:30:00+00:00,110.20999908447266,110.41000366210938,109.41000366210938,109.7699966430664,81.92162322998047,186937500,2010-01-25
2010-01-26 14:30:00+00:00,109.33999633789062,110.47000122070312,109.04000091552734,109.30999755859375,81.5783462524414,211168800,2010-01-26
2010-01-27 14:30:00+00:00,109.16999816894531,110.08000183105469,108.33000183105469,109.83000183105469,81.96642303466797,271863600,2010-01-27
2010-01-28 14:30:00+00:00,110.19000244140625,110.25,107.91000366210938,108.56999969482422,81.02606964111328,316104000,2010-01-28
2010-01-29 14:30:00+00:00,109.04000091552734,109.80000305175781,107.22000122070312,107.38999938964844,80.14543151855469,310677600,2010-01-29
2010-02-01 14:30:00+00:00,108.1500015258789,109.06999969482422,107.5,109.05999755859375,81.39178466796875,187865000,2010-02-01
2010-02-02 14:30:00+00:00,109.26000213623047,110.58999633789062,108.87999725341797,110.37999725341797,82.37688446044922,216327900,2010-02-02
2010-02-03 14:30:00+00:00,109.87999725341797,110.4800033569336,109.51000213623047,109.83000183105469,81.96642303466797,172730700,2010-02-03
2010-02-04 14:30:00+00:00,108.9800033569336,109.02999877929688,106.41999816894531,106.44000244140625,79.43647003173828,356715700,2010-02-04
2010-02-05 14:30:00+00:00,106.55999755859375,106.87999725341797,104.58000183105469,106.66000366210938,79.60066223144531,493585800,2010-02-05
2010-02-08 14:30:00+00:00,106.73999786376953,107.33000183105469,105.80999755859375,105.88999938964844,79.02597045898438,224166900,2010-02-08
2010-02-09 14:30:00+00:00,107.12999725341797,108.1500015258789,106.2699966430664,107.22000122070312,80.01856231689453,337820500,2010-02-09
2010-02-10 14:30:00+00:00,107.05000305175781,107.5999984741211,106.11000061035156,107.01000213623047,79.8618392944336,240511500,2010-02-10
2010-02-11 14:30:00+00:00,106.87000274658203,108.25,106.25,108.12999725341797,80.69770812988281,223591600,2010-02-11
2010-02-12 14:30:00+00:00,106.98999786376953,108.0999984741211,106.51000213623047,108.04000091552734,80.63052368164062,304622100,2010-02-12
2010-02-16 14:30:00+00:00,108.86000061035156,109.8499984741211,107.81999969482422,109.73999786376953,81.89928436279297,159317500,2010-02-16
2010-02-17 14:30:00+00:00,110.2699966430664,110.41000366210938,109.73999786376953,110.26000213623047,82.28736114501953,168845100,2010-02-17
